Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
460,Ray Spalding\spaldra01,C,23,HOU,2,0,9.5,1,2,0.5,0,0.5,0,1,1.5,0.667,0.5,0,1,0,1,1,2,0,0,1,1.5,1.5,2
461,Cassius Stanley\stanlca01,SG,21,IND,20,0,3.4,0.6,1.7,0.333,0.1,0.5,0.222,0.5,1.2,0.375,0.364,0.3,0.4,0.857,0.3,0.5,0.8,0.1,0,0.1,0.1,0.6,1.5
462,Lamar Stevens\stevela01,PF,23,CLE,40,0,12.5,1.6,3.4,0.456,0.1,0.6,0.16,1.5,2.8,0.523,0.471,0.9,1.3,0.725,0.6,1.8,2.4,0.6,0.4,0.3,0.6,1.3,4.1
463,Isaiah Stewart\stewais01,C,19,DET,64,11,20.9,3.2,5.7,0.566,0.2,0.7,0.349,3,5,0.595,0.587,0.9,1.3,0.691,2.4,4.2,6.6,0.8,0.5,1.2,1,2.7,7.5
464,Max Strus\strusma01,SF,24,MIA,36,0,13,2.1,4.7,0.456,1.3,3.8,0.341,0.9,0.9,0.912,0.592,0.4,0.6,0.65,0.1,0.9,1,0.6,0.3,0,0.2,1.2,5.9
465,Edmond Sumner\sumneed01,SG,25,IND,51,22,16,2.8,5.3,0.528,0.7,1.7,0.402,2.1,3.6,0.588,0.593,1.3,1.6,0.813,0.4,1.4,1.8,0.9,0.6,0.2,0.9,1.6,7.5
466,Jae'Sean Tate\tateja01,SF,25,HOU,65,53,29.4,4.5,8.8,0.513,0.8,2.7,0.297,3.7,6.1,0.609,0.559,1.4,2,0.698,1.9,3.4,5.4,2.3,1.3,0.5,1.3,3.2,11.2
467,Jayson Tatum\tatumja01,SF,22,BOS,58,58,35.9,9.5,20.6,0.459,2.9,7.5,0.393,6.5,13.1,0.497,0.531,4.6,5.3,0.873,0.8,6.6,7.4,4.4,1.1,0.4,2.7,1.9,26.5
468,Jeff Teague\teaguje01,PG,32,TOT,49,6,17.6,2.2,5.1,0.425,0.6,1.5,0.405,1.6,3.6,0.433,0.484,1.6,1.8,0.856,0.3,1.4,1.7,2.4,0.6,0.2,1.1,1.1,6.6
468,Jeff Teague\teaguje01,PG,32,BOS,34,5,18.1,2.3,5.5,0.415,0.8,1.6,0.464,1.5,3.9,0.394,0.484,1.5,1.8,0.836,0.3,1.4,1.7,2.1,0.8,0.2,1.1,1.3,6.9
468,Jeff Teague\teaguje01,PG,32,MIL,15,1,16.3,1.9,4.3,0.453,0.3,1.2,0.222,1.7,3.1,0.543,0.484,1.7,1.9,0.897,0.2,1.4,1.6,3,0.1,0.2,1,0.7,5.9
469,Garrett Temple\templga01,SG,34,CHI,49,23,27.2,2.9,6.9,0.423,1.2,3.7,0.339,1.7,3.2,0.519,0.513,0.7,0.9,0.814,0.5,2.2,2.7,2.2,0.8,0.5,1.1,2.3,7.8
470,Tyrell Terry\terryty01,PG,20,DAL,11,0,5.1,0.5,1.5,0.313,0,0.6,0,0.5,0.8,0.556,0.313,0.1,0.3,0.333,0,0.5,0.5,0.5,0.5,0,0.2,0.2,1
471,Daniel Theis\theisda01,C,28,TOT,62,48,24.6,3.9,7.2,0.542,0.7,2.3,0.31,3.2,4.8,0.653,0.592,1.1,1.7,0.663,1.4,4,5.4,1.7,0.6,0.9,1,2.5,9.6
471,Daniel Theis\theisda01,C,28,BOS,42,37,24.5,3.8,6.9,0.552,0.8,2.3,0.347,3,4.6,0.653,0.609,1.1,1.6,0.687,1.3,4,5.2,1.6,0.6,1,1,2.9,9.5
471,Daniel Theis\theisda01,C,28,CHI,20,11,24.9,4.1,7.9,0.522,0.6,2.5,0.24,3.5,5.4,0.654,0.561,1.2,1.9,0.622,1.6,4.2,5.8,1.9,0.7,0.6,1.1,1.9,10
472,Brodric Thomas\thomabr01,SG,24,TOT,25,1,8.6,0.8,2.6,0.308,0.4,1.5,0.27,0.4,1.1,0.357,0.385,0.8,1.1,0.704,0.2,0.8,1,0.7,0.3,0.3,0.7,0.9,2.8
472,Brodric Thomas\thomabr01,SG,24,HOU,4,0,6,0.5,1.8,0.286,0.3,1.5,0.167,0.3,0.3,1,0.357,1.3,1.8,0.714,0.3,0.8,1,1,0.3,0.3,1,1.3,2.5
472,Brodric Thomas\thomabr01,SG,24,CLE,21,1,9.1,0.9,2.8,0.31,0.4,1.5,0.29,0.4,1.3,0.333,0.388,0.7,1,0.7,0.2,0.8,1,0.7,0.3,0.3,0.6,0.9,2.8
473,Isaiah Thomas\thomais02,PG,31,NOP,3,0,16,3,9,0.333,1,4,0.25,2,5,0.4,0.389,0.7,0.7,1,0.3,1,1.3,1.7,0.3,0,2,1,7.7
474,Matt Thomas\thomama02,SG,26,TOT,39,0,7.4,1.2,2.8,0.417,0.6,1.7,0.373,0.5,1.1,0.488,0.532,0.2,0.3,0.9,0.1,0.7,0.9,0.4,0.1,0,0.3,0.4,3.2
474,Matt Thomas\thomama02,SG,26,TOR,26,0,7.4,0.9,2.4,0.387,0.7,1.6,0.415,0.3,0.8,0.333,0.524,0.2,0.3,0.857,0.1,0.7,0.8,0.3,0.1,0,0.2,0.4,2.7
474,Matt Thomas\thomama02,SG,26,UTA,13,0,7.3,1.6,3.5,0.457,0.6,2,0.308,1,1.5,0.65,0.543,0.2,0.2,1,0.2,0.8,1,0.5,0.1,0,0.5,0.4,4.1
475,Tristan Thompson\thomptr01,PF,29,BOS,50,40,23.4,3.2,6.1,0.518,0,0.1,0,3.2,6.1,0.523,0.518,1.4,2.3,0.605,3.2,5,8.1,1.3,0.4,0.6,1.1,2.2,7.7
476,Sindarius Thornwell\thornsi01,SG,26,NOP,14,1,5.2,0.5,1.5,0.333,0.2,0.6,0.333,0.3,0.9,0.333,0.405,0,0.1,0,0.1,0.3,0.4,0.3,0.4,0.1,0.3,0.2,1.2
477,Matisse Thybulle\thybuma01,SG,23,PHI,62,7,20.1,1.6,3.8,0.419,0.7,2.2,0.304,0.9,1.6,0.582,0.508,0.1,0.3,0.444,0.5,1.4,1.9,1,1.6,1.1,0.5,2,4
478,Killian Tillie\tilliki02,C,22,MEM,16,0,8.1,0.8,2.6,0.31,0.4,1.6,0.231,0.4,1,0.438,0.381,0.4,0.4,0.857,0.4,0.7,1.1,0.3,0.3,0.4,0.1,1.1,2.4
479,Xavier Tillman Sr.\tillmxa01,PF,22,MEM,53,10,18.6,2.8,5.1,0.551,0.4,1.1,0.333,2.5,4,0.613,0.588,0.6,0.9,0.667,1.2,3.1,4.3,1.3,0.8,0.5,0.7,2.1,6.6
480,Anthony Tolliver\tollian01,PF,35,PHI,6,0,10.8,0.2,1.7,0.1,0.2,1.2,0.143,0,0.5,0,0.15,0.8,1,0.833,0.5,0.8,1.3,0.3,0.5,0.3,0.5,1,1.3
481,Obi Toppin\toppiob01,PF,22,NYK,55,0,11.1,1.6,3.4,0.481,0.4,1.4,0.28,1.3,2,0.616,0.537,0.3,0.5,0.731,0.4,1.9,2.3,0.5,0.3,0.2,0.4,0.9,4
482,Juan Toscano-Anderson\toscaju01,SG,27,GSW,47,15,19.7,2.1,3.7,0.587,0.6,1.5,0.417,1.5,2.1,0.71,0.674,0.4,0.6,0.69,0.6,3.5,4.1,2.5,0.7,0.5,1.1,2,5.4
483,Axel Toupane\toupaax01,SF,28,MIL,8,1,7.6,0.5,1.4,0.364,0.1,0.3,0.5,0.4,1.1,0.333,0.409,0.6,0.9,0.714,0,0.8,0.8,0.5,0.3,0.4,0,0.8,1.8
484,Karl-Anthony Towns\townska01,C,25,MIN,43,43,34.3,8.6,17.6,0.487,2.5,6.3,0.394,6.1,11.3,0.539,0.557,5.2,6,0.862,2.6,8.3,10.9,4.6,0.7,1.3,3.3,3.7,24.8
485,Gary Trent Jr.\trentga02,SG,22,TOT,55,35,30.9,5.5,13.3,0.415,2.9,7.3,0.389,2.7,6,0.447,0.522,1.3,1.7,0.78,0.4,2.1,2.5,1.4,1,0.2,0.7,1.5,15.2
485,Gary Trent Jr.\trentga02,SG,22,POR,41,23,30.8,5.3,12.8,0.414,3,7.4,0.397,2.3,5.3,0.438,0.53,1.4,1.8,0.773,0.5,1.7,2.2,1.4,0.9,0.1,0.8,1.5,15
485,Gary Trent Jr.\trentga02,SG,22,TOR,14,12,31.2,6.2,14.9,0.416,2.6,7.1,0.364,3.6,7.9,0.464,0.502,0.9,1.1,0.813,0.1,3.4,3.4,1.4,1.2,0.2,0.7,1.5,15.9
486,P.J. Tucker\tuckepj01,PF,35,TOT,46,32,26.8,1.4,3.6,0.384,0.8,2.4,0.349,0.5,1.2,0.455,0.5,0.4,0.5,0.75,1.1,3.1,4.2,1.2,0.8,0.4,0.8,2.5,4
486,P.J. Tucker\tuckepj01,PF,35,HOU,32,32,30,1.5,4.1,0.366,0.8,2.7,0.314,0.7,1.4,0.467,0.469,0.6,0.7,0.783,1,3.6,4.6,1.4,0.9,0.6,1,2.8,4.4
486,P.J. Tucker\tuckepj01,PF,35,MIL,14,0,19.6,1.1,2.4,0.455,0.8,1.6,0.478,0.3,0.7,0.4,0.621,0,0.1,0,1.1,2,3.1,0.6,0.6,0.1,0.3,1.9,2.9
487,Rayjon Tucker\tuckera01,PG,23,PHI,12,0,4.1,0.4,0.9,0.455,0.2,0.4,0.4,0.3,0.5,0.5,0.545,1,1.2,0.857,0.1,0.7,0.8,0.4,0.2,0,0.3,0.4,2
488,Myles Turner\turnemy01,C,24,IND,47,47,31,4.4,9.2,0.477,1.5,4.4,0.335,2.9,4.8,0.606,0.557,2.4,3,0.782,1.3,5.2,6.5,1,0.9,3.4,1.4,3.5,12.6
489,Jonas Valančiūnas\valanjo01,C,28,MEM,56,55,28.1,6.9,12,0.579,0.4,1,0.382,6.6,11,0.596,0.594,2.5,3.3,0.765,4.1,8.3,12.4,1.8,0.6,0.8,1.7,2.8,16.8
490,Denzel Valentine\valende01,SG,27,CHI,58,3,17.2,2.6,6.8,0.378,1.3,4,0.329,1.3,2.8,0.448,0.475,0.3,0.3,0.941,0.4,2.9,3.3,1.7,0.5,0.1,0.7,1.2,6.8
491,Jarred Vanderbilt\vandeja01,PF,21,MIN,57,25,17.1,2.1,3.5,0.598,0,0.1,0.25,2.1,3.4,0.605,0.601,0.9,1.7,0.563,1.8,3.7,5.5,1.3,0.9,0.7,0.9,1.9,5.1
492,Fred VanVleet\vanvlfr01,SG,26,TOR,51,51,36.4,6.5,16.6,0.392,3.3,9.1,0.366,3.2,7.5,0.423,0.492,3.2,3.7,0.882,0.6,3.6,4.2,6.3,1.7,0.7,1.8,2.3,19.5
493,Devin Vassell\vassede01,SF,20,SAS,54,5,16.2,1.8,4.5,0.397,0.9,2.3,0.377,0.9,2.2,0.417,0.492,0.7,0.8,0.857,0.4,2.3,2.7,0.9,0.7,0.3,0.3,1.4,5.1
494,Gabe Vincent\vincega01,PG,24,MIA,47,6,13.1,1.7,4.7,0.373,0.9,3,0.305,0.8,1.7,0.494,0.47,0.4,0.5,0.87,0.2,0.9,1.1,1.2,0.4,0,0.6,1.6,4.8
495,Noah Vonleh\vonleno01,PF,25,BRK,4,0,2.8,0,0.8,0,0,0.5,0,0,0.3,0,0,0,0,,0,0.3,0.3,0.3,0,0,0.5,0.5,0
496,Nikola Vučević\vucevni01,C,30,TOT,64,64,33.6,9.6,19.9,0.484,2.6,6.2,0.411,7.1,13.7,0.518,0.549,2,2.4,0.836,2,9.5,11.5,3.7,1,0.7,1.8,1.9,23.8
496,Nikola Vučević\vucevni01,C,30,ORL,44,44,34.1,9.9,20.6,0.48,2.7,6.5,0.406,7.3,14.1,0.515,0.545,2.1,2.5,0.827,2,9.8,11.8,3.8,1,0.6,1.9,1.8,24.5
496,Nikola Vučević\vucevni01,C,30,CHI,20,20,32.5,9.1,18.3,0.495,2.4,5.6,0.423,6.7,12.8,0.525,0.559,1.8,2.1,0.857,2.1,8.8,10.9,3.6,1,0.8,1.7,2.2,22.3
497,Dean Wade\wadede01,PF,24,CLE,56,13,17.6,1.9,4.6,0.424,1.1,3.2,0.362,0.8,1.4,0.564,0.549,0.3,0.4,0.783,0.5,2.5,3.1,1.2,0.4,0.4,0.4,1.1,5.3
498,Moritz Wagner\wagnemo01,C,23,TOT,38,17,14.4,2.1,4.6,0.457,0.5,1.7,0.317,1.6,2.9,0.536,0.514,1.4,1.7,0.788,0.5,2.4,2.9,1.1,0.6,0.3,0.8,2.2,6.1
498,Moritz Wagner\wagnemo01,C,23,WAS,25,13,15,2.5,4.9,0.508,0.5,1.7,0.31,2,3.2,0.613,0.561,1.6,2.1,0.788,0.5,2.4,2.9,1.3,0.9,0.3,0.8,2.5,7.1
498,Moritz Wagner\wagnemo01,C,23,BOS,9,1,6.8,0.4,1.6,0.286,0.2,0.7,0.333,0.2,0.9,0.25,0.357,0.1,0.2,0.5,0.3,1.8,2.1,0.7,0,0.1,1,1.1,1.2
498,Moritz Wagner\wagnemo01,C,23,ORL,4,3,28,3.3,9.3,0.351,1.3,3.8,0.333,2,5.5,0.364,0.419,2.5,3,0.833,0.5,4,4.5,1.3,0,1,0.5,3.3,10.3
499,Kemba Walker\walkeke02,PG,30,BOS,39,39,31.5,6.3,15.3,0.409,2.8,8.1,0.348,3.4,7.2,0.477,0.501,2.9,3.1,0.918,0.3,3.6,3.9,5,1.1,0.3,2.1,1.4,18.2
500,Lonnie Walker\walkelo01,SG,22,SAS,52,31,25.2,4.2,10,0.423,1.7,4.6,0.363,2.6,5.4,0.473,0.506,1.1,1.3,0.809,0.2,2.3,2.5,1.6,0.5,0.3,1.1,1.8,11.1
501,John Wall\walljo01,PG,30,HOU,40,40,32.2,7.3,18.2,0.404,2,6.2,0.317,5.4,11.9,0.449,0.458,4,5.3,0.749,0.4,2.8,3.2,6.9,1.1,0.8,3.5,1.2,20.6
502,Brad Wanamaker\wanambr01,PG,31,TOT,58,0,17.1,1.9,5,0.384,0.3,1.4,0.19,1.6,3.5,0.463,0.412,1.4,1.6,0.891,0.3,1.4,1.7,2.8,0.7,0.2,1.2,1.5,5.5
502,Brad Wanamaker\wanambr01,PG,31,GSW,39,0,16,1.6,4.4,0.353,0.3,1.6,0.213,1.2,2.9,0.429,0.39,1.3,1.4,0.893,0.2,1.5,1.7,2.5,0.7,0.2,0.9,1.4,4.7
502,Brad Wanamaker\wanambr01,PG,31,CHO,19,0,19.2,2.6,6.1,0.431,0.2,1.2,0.13,2.5,4.9,0.505,0.444,1.7,1.9,0.889,0.4,1.3,1.7,3.4,0.7,0.3,1.6,1.8,7.1
503,T.J. Warren\warretj01,SF,27,IND,4,4,29.3,6.8,12.8,0.529,0,1.8,0,6.8,11,0.614,0.529,2,2.5,0.8,0.5,3,3.5,1.3,0.5,0,1,4,15.5
504,P.J. Washington\washipj01,PF,22,CHO,57,54,30,4.7,10.4,0.449,1.7,4.2,0.397,3,6.2,0.484,0.53,1.8,2.3,0.752,1.4,4.9,6.2,2.5,1,1.3,2.1,2.7,12.8
505,Yuta Watanabe\watanyu01,SF,26,TOR,47,2,14.2,1.5,3.4,0.45,0.7,1.7,0.407,0.8,1.7,0.494,0.553,0.5,0.6,0.815,0.8,2.4,3.2,0.8,0.5,0.4,0.4,1.1,4.2
506,Tremont Waters\watertr01,PG,23,BOS,21,2,7.6,0.9,2.3,0.388,0.4,1,0.364,0.5,1.3,0.407,0.469,0.6,0.7,0.929,0.1,0.4,0.6,2.1,0.6,0,0.9,0.6,2.8
507,Paul Watson\watsopa01,SF,26,TOR,27,2,11,1.4,3,0.463,1.1,2.4,0.469,0.3,0.7,0.444,0.646,0.2,0.3,0.625,0.1,1.5,1.7,0.6,0.2,0.1,0.3,1.3,4.1
508,Quinndary Weatherspoon\weathqu01,SG,24,SAS,17,0,4.5,0.4,0.9,0.375,0,0.1,0,0.4,0.8,0.429,0.375,0.4,0.5,0.875,0.1,0.2,0.4,0.3,0.4,0.1,0.5,0.8,1.1
509,Russell Westbrook\westbru01,PG,32,WAS,58,58,35.9,8.3,18.8,0.441,1.2,3.9,0.314,7.1,14.8,0.475,0.474,4,6.2,0.641,1.7,9.6,11.3,11.2,1.3,0.3,4.9,2.8,21.8
510,Coby White\whiteco01,PG,20,CHI,62,47,30.9,5.4,13,0.413,2.2,6.3,0.349,3.2,6.7,0.474,0.498,2,2.2,0.912,0.4,3.6,4,4.7,0.5,0.2,2.3,2.6,14.9
511,Derrick White\whitede01,SG,26,SAS,36,32,29.6,5.2,12.6,0.411,2.3,6.8,0.346,2.8,5.8,0.486,0.503,2.7,3.2,0.851,0.4,2.6,3,3.5,0.7,1,1.3,2.5,15.4
512,Hassan Whiteside\whiteha01,C,31,SAC,36,4,15.2,3.5,6.2,0.563,0,0,0,3.5,6.2,0.565,0.563,1.1,2.2,0.519,1.7,4.3,6,0.6,0.3,1.3,1.1,2,8.1
513,Greg Whittington\whittgr01,PF,27,DEN,4,0,3,0,0.8,0,0,0.5,0,0,0.3,0,0,0,0,,0,0,0,0,0,0,0,0,0
514,Andrew Wiggins\wiggian01,PF,25,GSW,66,66,33.3,6.9,14.7,0.473,2,5.2,0.383,4.9,9.4,0.523,0.541,2.5,3.5,0.715,1.1,3.7,4.8,2.3,1,1,1.8,2.2,18.3
515,Grant Williams\willigr01,PF,22,BOS,56,8,18.1,1.6,3.7,0.431,0.8,2.1,0.374,0.8,1.7,0.5,0.533,0.4,0.7,0.55,0.8,2,2.8,1,0.5,0.4,0.9,2.5,4.4
516,Kenrich Williams\willike04,PF,26,OKC,64,12,21.5,3.2,6,0.53,0.7,1.7,0.431,2.5,4.3,0.568,0.59,0.6,1,0.571,1.3,2.9,4.2,2.2,0.8,0.2,1.1,2.1,7.7
517,Lou Williams\willilo02,PG,34,TOT,60,4,22.2,4.1,10.1,0.409,1.1,2.7,0.393,3.1,7.4,0.414,0.461,2.4,2.8,0.861,0.4,1.7,2.1,3.4,0.8,0.1,1.7,1,11.7
517,Lou Williams\willilo02,PG,34,LAC,42,3,21.9,4.3,10.2,0.421,1.1,2.8,0.378,3.2,7.4,0.437,0.473,2.5,2.8,0.866,0.4,1.7,2.1,3.4,0.9,0.1,1.6,1,12.1
517,Lou Williams\willilo02,PG,34,ATL,18,1,22.8,3.7,9.8,0.379,1.1,2.4,0.432,2.7,7.4,0.361,0.432,2.2,2.6,0.851,0.3,1.7,2.1,3.4,0.4,0.1,1.8,0.9,10.7
518,Patrick Williams\willipa01,PF,19,CHI,64,64,28.2,3.6,7.5,0.475,0.8,2,0.384,2.8,5.5,0.507,0.525,1.3,1.7,0.734,0.9,3.7,4.6,1.4,0.9,0.6,1.4,1.8,9.1
519,Robert Williams\williro04,C,23,BOS,50,11,19.1,3.6,5,0.717,0,0,0,3.6,5,0.723,0.717,0.9,1.4,0.634,2.6,4.4,7,1.8,0.8,1.8,1,2.1,8.1
520,Zion Williamson\willizi01,PF,20,NOP,61,61,33.2,10.4,17,0.611,0.2,0.6,0.294,10.2,16.4,0.622,0.616,6,8.7,0.698,2.7,4.5,7.2,3.7,0.9,0.6,2.7,2.2,27
521,D.J. Wilson\wilsodj01,PF,24,TOT,35,1,12.4,1.9,4.8,0.405,0.9,2.5,0.345,1.1,2.3,0.469,0.494,0.5,0.7,0.68,0.6,2.6,3.2,0.7,0.3,0.5,0.6,1.3,5.2
521,D.J. Wilson\wilsodj01,PF,24,MIL,12,0,8.8,1.3,3.6,0.372,0.8,2.3,0.357,0.5,1.3,0.4,0.488,0.1,0.2,0.5,0.3,1.8,2.1,0.3,0.1,0.3,0.3,1.1,3.6
521,D.J. Wilson\wilsodj01,PF,24,HOU,23,1,14.3,2.3,5.4,0.416,0.9,2.6,0.339,1.4,2.9,0.485,0.496,0.7,1,0.696,0.7,3,3.8,0.9,0.4,0.5,0.8,1.3,6.1
522,Dylan Windler\windldy01,SF,24,CLE,31,0,16.5,1.8,4.2,0.438,0.8,2.5,0.338,1,1.7,0.585,0.538,0.7,0.9,0.778,0.6,2.8,3.5,1.1,0.6,0.4,1,1.2,5.2
523,Justise Winslow\winslju01,SF,24,MEM,24,0,19.3,2.7,8,0.34,0.3,2,0.125,2.5,6,0.413,0.356,0.7,1.2,0.586,0.7,3.6,4.3,1.8,0.6,0.5,1.4,1.8,6.4
524,Cassius Winston\winstca01,PG,22,WAS,21,0,4.6,0.7,1.6,0.424,0.4,0.8,0.471,0.3,0.8,0.375,0.545,0.2,0.3,0.833,0,0.4,0.4,0.6,0.1,0,0.2,0.4,2
525,James Wiseman\wisemja01,C,19,GSW,39,27,21.4,4.9,9.4,0.519,0.3,1,0.316,4.6,8.5,0.542,0.535,1.4,2.2,0.628,1.4,4.4,5.8,0.7,0.3,0.9,1.5,3.1,11.5
526,Christian Wood\woodch01,C,25,HOU,41,41,32.3,8,15.6,0.514,1.9,5,0.374,6.1,10.6,0.581,0.574,3,4.8,0.631,1.9,7.8,9.6,1.7,0.8,1.2,2,2.1,21
527,Robert Woodard\woodaro01,SF,21,SAC,11,0,2.6,0.6,1.3,0.5,0.1,0.4,0.25,0.5,0.9,0.6,0.536,0.3,0.7,0.375,0.3,0.7,1,0,0,0.2,0.1,0.2,1.6
528,Delon Wright\wrighde01,SG-PG,28,TOT,56,32,27,3.6,7.8,0.456,0.9,2.5,0.362,2.7,5.3,0.5,0.514,1.7,2.2,0.795,0.9,3.2,4.1,4.2,1.5,0.5,1.2,1.2,9.7
528,Delon Wright\wrighde01,SG,28,DET,36,31,29.2,3.8,8.1,0.464,0.9,2.5,0.348,2.9,5.7,0.515,0.517,2,2.5,0.789,1,3.5,4.6,5,1.6,0.5,1.3,1.3,10.4
528,Delon Wright\wrighde01,PG,28,SAC,20,1,23,3.2,7.2,0.441,1,2.5,0.388,2.2,4.7,0.468,0.507,1.3,1.6,0.813,0.8,2.6,3.4,2.8,1.4,0.4,1,1,8.6
529,Thaddeus Young\youngth01,PF,32,CHI,61,19,24.3,5.5,9.6,0.574,0.2,0.6,0.263,5.4,9,0.596,0.583,1,1.5,0.628,2.4,3.7,6.1,4.3,1.1,0.5,2,2.3,12.2
530,Trae Young\youngtr01,PG,22,ATL,57,57,34.2,7.7,17.7,0.433,2.3,6.4,0.356,5.4,11.3,0.477,0.498,7.8,8.9,0.879,0.6,3.2,3.9,9.4,0.9,0.2,4.2,1.8,25.5
531,Cody Zeller\zelleco01,C,28,CHO,41,20,20.4,3.6,6.6,0.546,0.1,0.7,0.148,3.5,6,0.59,0.554,1.7,2.4,0.711,2.5,4.2,6.8,1.8,0.6,0.4,1,2.4,9
532,Ivica Zubac\zubaciv01,C,23,LAC,66,27,22.6,3.6,5.6,0.644,0,0,0,3.6,5.5,0.649,0.644,1.9,2.5,0.784,2.7,4.6,7.3,1.3,0.4,0.9,1.2,2.6,9.1